,job_position,job_id,company_name,job_location,job_posting_date,skill,senority_level,employment_type,job_function,industry
175,Developer,4150023968,Wipro,"Pune, Maharashtra, India",2025-02-11,"['python', 'java', 'HTML', 'CSS', 'Git', 'Frontend Development']",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
176,Entry Level Software Engineer,4119837281,Medpace,"Navi Mumbai, Maharashtra, India",2025-02-07,"['python', 'java', 'JavaScript', 'C++', 'C', 'HTML', 'CSS', 'Angular', 'Data Structures', 'Backend Development', 'Frontend Development', 'Full Stack Development', 'Competitive Programming']",Not Applicable,Full-time,Engineering and Information Technology,Pharmaceutical Manufacturing
177,Data Scientist,4148868158,Godrej Industries Group,"Mumbai, Maharashtra, India",2025-02-10,"['python', 'java', 'Go', 'R', 'AWS', 'Azure', 'Jenkins', 'Machine Learning', 'Deep Learning', 'NLP', 'TensorFlow', 'Scikit-Learn', 'Computer Vision', 'Data Science', 'Spark', 'Databricks', 'Edge Computing', 'Performance Testing', 'Data Analysis', 'Power BI']",Mid-Senior level,Full-time,Engineering and Information Technology,Holding Companies
178,Data Engineer,4137899611,Persistent Systems,"Pune, Maharashtra, India",2025-01-30,"['python', 'AWS', 'Azure', 'Google Cloud', 'Machine Learning', 'Data Science', 'Big Data', 'Hadoop', 'Spark', 'Data Structures', 'Data Analysis', 'Kafka']",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
179,Python Web Developer_b_aw,4037130073,CodersBrain,"Pune, Maharashtra, India",2024-09-06,"['python', 'Flask', 'FastAPI']",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
180,Python Developer,4149464476,Zvolv,"Pune, Maharashtra, India",2025-02-13,"['python', 'MongoDB', 'Bash', 'Machine Learning']",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
181,Data Analyst,4139462352,Solytics Partners,"Pune, Maharashtra, India",2025-01-31,"['python', 'SQL', 'R', 'Machine Learning', 'Data Science', 'Big Data', 'Automation', 'Data Analysis', 'Power BI']",Mid-Senior level,Full-time,"Analyst, Consulting, and Finance","Financial Services, Information Services, and IT Services and IT Consulting"
182,Frontend Developer,4152472715,GoDaddy,"Pune, Maharashtra, India",2025-02-13,"['python', 'JavaScript', 'HTML', 'CSS', 'MongoDB', 'Node.js', 'React', 'Angular', 'Backend Development', 'Frontend Development', 'Full Stack Development']",Mid-Senior level,Full-time,Engineering,"Technology, Information and Internet"
183,SQL Developers Apprentice [Remotely],4150797638,Gigafactor Solutions,"Pune, Maharashtra, India",2025-02-13,"['python', 'HTML', 'SQL']",Entry level,Internship,Information Technology,IT Services and IT Consulting
184,Python Automation,4151852541,Capgemini Engineering,"Pune, Maharashtra, India",2025-02-13,"['python', 'Git', 'Jenkins', 'Computer Vision', 'Automation', 'Software Testing', 'JMeter', 'Performance Testing', 'Load Testing']",Not Applicable,Full-time,Engineering and Information Technology,Engineering Services
185,Data Analyst,4151254079,Deutsche Bank,"Pune, Maharashtra, India",2025-02-13,"['python', 'SQL', 'R', 'Machine Learning', 'Data Science', 'Big Data', 'Data Analysis', 'Power BI']",Not Applicable,Full-time,Information Technology,Financial Services
186,Software Engineer,4133039184,Wissen Technology,Mumbai Metropolitan Region,2025-01-23,"['python', 'java', 'C++', 'HTML', 'PostgreSQL', 'Linux', 'Big Data', 'Microservices', 'Data Structures', 'Backend Development', 'Frontend Development', 'Full Stack Development']",Associate,Full-time,Information Technology,IT Services and IT Consulting
187,Software Engineer II,4145515240,Microsoft,"Maharashtra, India",2025-02-06,"['python', 'java', 'JavaScript', 'C++', 'C', 'HTML', 'CSS', 'SQL', 'MongoDB', 'Azure', 'Microservices', 'Data Structures', 'NoSQL', 'Backend Development', 'Frontend Development', 'Full Stack Development']",Not Applicable,Full-time,Engineering and Information Technology,Software Development
188,Python Developer IRC255257,4151916790,GlobalLogic,"Pune, Maharashtra, India",2025-02-13,"['python', 'Django', 'Flask', 'Competitive Programming']",Director,Part-time,Engineering,Software Development
189,AI Engineer,4117408093,Kodo,Mumbai Metropolitan Region,2024-12-12,"['python', 'JavaScript', 'HTML', 'CSS', 'SQL', 'Docker', 'AWS', 'Machine Learning', 'Deep Learning', 'NLP', 'TensorFlow', 'PyTorch', 'Computer Vision', 'LLMs', 'Data Science', 'Backend Development', 'Frontend Development', 'Full Stack Development']",Associate,Full-time,Engineering and Information Technology,Financial Services
190,AI Engineer,4117403428,Kodo,"Pune, Maharashtra, India",2024-12-12,"['python', 'java', 'JavaScript', 'C++', 'HTML', 'CSS', 'SQL', 'Docker', 'AWS', 'Azure', 'Machine Learning', 'Deep Learning', 'NLP', 'TensorFlow', 'PyTorch', 'Computer Vision', 'LLMs', 'Data Science', 'Backend Development', 'Frontend Development', 'Full Stack Development', 'Cloud Computing']",Associate,Full-time,Engineering and Information Technology,Financial Services
191,Business and Financial Analysis,4111211495,Aditya Birla Group,"Kolhapur, Maharashtra, India",2025-02-15,"['python', 'SQL', 'Data Analysis']",Entry level,Full-time,"Research, Analyst, and Information Technology",Executive Offices
192,Software Engineer,4136136010,HCLTech,"Nagpur, Maharashtra, India",2025-01-28,"['python', 'java', 'JavaScript', 'C++', 'Linux', 'Data Structures', 'DBMS', 'Frontend Development', 'Full Stack Development', 'Android Development', 'Selenium']",Entry level,Full-time,Information Technology,IT Services and IT Consulting
193,SQL Developers Apprentice,4151018584,Gigafactor Solutions,"Pune, Maharashtra, India",2025-02-13,"['python', 'JavaScript', 'HTML', 'SQL']",Entry level,Internship,Information Technology,IT Services and IT Consulting
194,Python Developer_Nivita,4037124894,CodersBrain,Mumbai Metropolitan Region,2024-09-06,"['python', 'Django', 'C++', 'Flask', 'Kubernetes', 'Bash', 'Machine Learning', 'Big Data', 'Backend Development']",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
195,Python Developer,4134526837,NonStop io Technologies,"Pune, Maharashtra, India",2025-01-25,"['python', 'Django', 'Flask', 'Git', 'Data Structures', 'NoSQL', 'Redis']",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
196,"Assistant Manager, Business Analytics",4146948277,Colgate-Palmolive,Mumbai Metropolitan Region,2025-02-07,"['python', 'SQL', 'R', 'Machine Learning', 'Data Science', 'Big Data', 'Data Analysis', 'Power BI']",Not Applicable,Full-time,"Research, Analyst, and Information Technology","Manufacturing, Transportation, Logistics, Supply Chain and Storage, and Retail"
197,Associate Analyst (COT Team),4127742642,EVERSANA,Pune/Pimpri-Chinchwad Area,2025-02-07,"['python', 'HTML', 'SQL', 'Data Analysis']",Not Applicable,Full-time,Information Technology,Pharmaceutical Manufacturing and Hospitals and Health Care
198,Power BI Admin,4144639571,LTIMindtree,"Pune, Maharashtra, India",2025-02-05,"['python', 'SQL', 'Data Analysis', 'Power BI']",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
199,Application Developer,4150713218,Reliance Industries Limited,"Navi Mumbai, Maharashtra, India",2025-02-13,"['python', 'JavaScript', 'C++', 'CSS', 'SQL']",Mid-Senior level,Full-time,Information Technology,Oil and Gas
200,Front End Developer-HTML CSS Python,4136089993,Zensar Technologies,"Pune, Maharashtra, India",2025-01-27,"['python', 'Django', 'JavaScript', 'HTML', 'CSS', 'Flask', 'Node.js', 'Angular', 'Docker', 'Git', 'RESTful APIs', 'Backend Development', 'Frontend Development', 'Full Stack Development', 'Scrum']",Associate,Full-time,Other,IT Services and IT Consulting
201,Software Testing Freshers,4050395947,Career,"Pune, Maharashtra, India",2024-09-21,"['python', 'JavaScript', 'CSS', 'PostgreSQL', 'Node.js', 'Machine Learning', 'Data Structures', 'Android Development', 'Software Testing']",Entry level,Full-time,Engineering and Information Technology,Human Resources Services
202,Software Engineer,4121156212,IntegriChain,"Pune, Maharashtra, India",2025-01-30,"['python', 'Django', 'JavaScript', 'C++', 'HTML', 'CSS', 'Flask', 'React', 'Angular', 'Data Structures', 'RESTful APIs', 'Backend Development', 'Full Stack Development', 'Software Testing']",Entry level,Full-time,Engineering and Information Technology,Software Development
203,Software Engineer,4121155294,IntegriChain,"Pune, Maharashtra, India",2025-02-06,"['python', 'Django', 'JavaScript', 'C++', 'HTML', 'CSS', 'SQL', 'Flask', 'React', 'Angular', 'Data Structures', 'RESTful APIs', 'Backend Development', 'Software Testing']",Entry level,Full-time,Engineering and Information Technology,Software Development
204,Software Test Engineer,4141917520,PhonePe,"Pune, Maharashtra, India",2025-02-03,"['python', 'java', 'Swift', 'Docker', 'Git', 'Jenkins', 'iOS Development', 'Android Development', 'DevOps', 'Scripting', 'Automation', 'Software Testing', 'Selenium', 'JIRA', 'Performance Testing']",Mid-Senior level,Full-time,"Engineering, Information Technology, and Quality Assurance","Software Development, Internet Marketplace Platforms, and Financial Services"
205,Software Engineer,4100527400,IntegriChain,"Pune, Maharashtra, India",2025-02-11,"['python', 'Django', 'JavaScript', 'C++', 'HTML', 'CSS', 'Flask', 'React', 'Angular', 'Data Structures', 'RESTful APIs', 'Full Stack Development']",Entry level,Full-time,Engineering and Information Technology,Software Development
206,Data Engineer- Business Consulting,4133035655,Infosys Consulting,"Pune, Maharashtra, India",2025-01-23,"['python', 'SQL', 'Azure', 'Git', 'Machine Learning', 'Data Science', 'Big Data', 'Spark', 'Databricks', 'unity', 'Data Structures', 'Agile Methodology', 'Data Analysis']",Mid-Senior level,Full-time,Consulting,Business Consulting and Services
207,Software Developer Trainee,4080283578,3RI Technologies Pvt. Ltd.,"Pune, Maharashtra, India",2024-11-19,"['python', 'JavaScript', 'C++', 'HTML', 'MongoDB', 'Node.js', 'React', 'TypeScript', 'Data Structures', 'NoSQL', 'Redis', 'Frontend Development', 'Full Stack Development', 'Android Development']",Internship,Full-time,Engineering and Information Technology,Staffing and Recruiting
208,Junior Data Scientist,4112934638,Emerson,"Pune, Maharashtra, India",2025-01-27,"['python', 'MongoDB', 'R', 'Machine Learning', 'Deep Learning', 'NLP', 'TensorFlow', 'PyTorch', 'Data Science', 'Hadoop', 'Automation', 'Scrum', 'Data Analysis', 'Power BI']",Mid-Senior level,Full-time,Engineering,Industrial Machinery Manufacturing
209,SQL Developers Apprentice,4150755864,Gigafactor Solutions,"Pune, Maharashtra, India",2025-02-13,"['python', 'JavaScript', 'HTML', 'SQL']",Entry level,Internship,Information Technology,IT Services and IT Consulting
210,Data Analytics Trainee,4150793912,Gigafactor Solutions,"Nashik, Maharashtra, India",2025-02-13,"['python', 'SQL', 'R']",Entry level,Full-time,Information Technology,IT Services and IT Consulting
211,Data Scientist,4153127270,Velotio Technologies,"Pune, Maharashtra, India",2025-02-14,"['python', 'java', 'SQL', 'R', 'AWS', 'Azure', 'Machine Learning', 'Deep Learning', 'Scikit-Learn', 'Computer Vision', 'Data Science', 'Hadoop', 'IoT', 'Full Stack Development', 'Cloud Computing', 'Data Analysis']",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
212,"Data and Analytics Consultant, Google Cloud",4118136053,Google,"Mumbai, Maharashtra, India",2025-01-30,"['python', 'MongoDB', 'R', 'Google Cloud', 'Terraform', 'Ansible', 'Jenkins', 'Machine Learning', 'TensorFlow', 'Data Science', 'Big Data', 'Hadoop', 'NoSQL', 'Cloud Computing', 'Data Analysis']",Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet"
213,Test Engineer,4134237927,AXA,"Pune, Maharashtra, India",2025-01-24,"['python', 'SQL', 'Automation', 'Software Testing', 'JIRA']",Mid-Senior level,Full-time,Information Technology,Insurance and IT Services and IT Consulting
214,Python Fullstack Developer,4151011077,Sir H.N. Reliance Foundation Hospital & Research Centre,"Mumbai, Maharashtra, India",2025-02-13,"['python', 'Django', 'Flask']",Mid-Senior level,Full-time,Engineering and Information Technology,Hospitals and Health Care
215,"Cloud Engineer, Data and Analytics",4139896683,Google,"Pune, Maharashtra, India",2025-01-31,"['python', 'JavaScript', 'SQL', 'MongoDB', 'Docker', 'AWS', 'Azure', 'Google Cloud', 'Terraform', 'Ansible', 'Bash', 'PowerShell', 'Jenkins', 'TensorFlow', 'Big Data', 'Hadoop', 'Spark', 'Data Structures', 'NoSQL', 'DevOps', 'Cloud Computing']",Not Applicable,Full-time,"Project Management, Consulting, and Engineering","Information Services and Technology, Information and Internet"
216,Android Fresher Required,4087290970,Concourse Solutions Private Limited,"Pune, Maharashtra, India",2024-11-28,"['python', 'C++', 'C', 'HTML', 'Backend Development', 'Android Development']",Internship,Full-time,Education and Training,Staffing and Recruiting
217,Python Developer,4135123298,Soul AI,"Pune, Maharashtra, India",2025-01-26,"['python', 'Django', 'Flask', 'Bash']",Not Applicable,Part-time,Information Technology and Engineering,IT Services and IT Consulting
218,Support Engineer,4119351066,Xplor Technologies,Pune/Pimpri-Chinchwad Area,2025-02-05,"['python', 'HTML', 'Google Cloud', 'LLMs', 'Networking']",Mid-Senior level,Full-time,Engineering,Software Development
219,Python Developer,4144359556,Intellias,"Pune, Maharashtra, India",2025-02-05,"['python', 'Django', 'HTML', 'Flask', 'Terraform', 'Bash', 'Machine Learning', 'Unit Testing']",Mid-Senior level,Full-time,Consulting,IT Services and IT Consulting
220,Python Fullstack Developer,4151009230,Sir H.N. Reliance Foundation Hospital & Research Centre,Mumbai Metropolitan Region,2025-02-13,"['python', 'Flask']",Mid-Senior level,Full-time,Engineering and Information Technology,Hospitals and Health Care
221,"Junior Software Developer in Mumbai, Mumbai",4140318500,Maharashtra Knowledge Corporation Limited (MKCL),Mumbai Metropolitan Region,2025-02-01,"['python', 'JavaScript', 'C++', 'HTML', 'CSS', 'SQL', 'PostgreSQL', 'Node.js', 'Angular', 'Backend Development', 'Frontend Development', 'Android Development']",Entry level,Full-time,Information Technology and Engineering,Software Development and Higher Education
222,Assistant Manager / Manager - Learning & Development,4146384296,L'Oréal,"Mumbai, Maharashtra, India",2025-02-10,"['python', 'java']",Not Applicable,Full-time,"Training, Human Resources, and Consulting",Manufacturing and Personal Care Product Manufacturing
223,Java Selenium Automation Testing Engineer,4126488773,Infosys,"Pune, Maharashtra, India",2025-01-18,"['python', 'Automation', 'Selenium', 'Embedded Systems']",Associate,Full-time,Information Technology,IT Services and IT Consulting
224,BI Analyst II,4138320876,LivePerson,"Pune, Maharashtra, India",2025-01-30,"['python', 'SQL', 'R', 'Machine Learning', 'Data Science', 'Data Analysis', 'Power BI', 'Snowflake']",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Software Development
225,Data Analyst [Trainee Executive],4140185348,InnovatexIQ Solutions,"Nashik, Maharashtra, India",2025-01-31,"['python', 'SQL', 'R', 'Machine Learning', 'Data Science', 'Data Analysis', 'Power BI']",Internship,Full-time,Information Technology,Information Services
226,Python Developer Internships Opportunity,4151040652,Gigafactor Solutions,"Pune, Maharashtra, India",2025-02-13,"['python', 'Django', 'PostgreSQL']",Entry level,Internship,Information Technology,IT Services and IT Consulting
227,Python Developer (Programming Internship),4150796921,Gigafactor Solutions,"Pune, Maharashtra, India",2025-02-13,"['python', 'Django', 'HTML', 'Bash']",Entry level,Internship,Information Technology,IT Services and IT Consulting
228,Automation Engineer,4129161651,"SPX FLOW, Inc.","Pune, Maharashtra, India",2025-01-20,"['python', 'C++', 'C', 'Automation', 'Software Testing']",Entry level,Full-time,Engineering,Industrial Machinery Manufacturing
229,Junior Analyst,4141457713,Tristone Strategic Partners LLP,Mumbai Metropolitan Region,2025-02-04,"['python', 'JavaScript', 'HTML', 'CSS', 'SQL']",Entry level,Full-time,Business Development and Sales,Financial Services
230,Data Analyst - Build world-class BI solutions to drive business growth,4145766527,Mindstix Software Labs,"Pune, Maharashtra, India",2025-02-07,"['python', 'SQL', 'R', 'AWS', 'Machine Learning', 'Data Science', 'Big Data', 'Data Structures', 'Data Analysis', 'Power BI', 'Competitive Programming']",Not Applicable,Full-time,"Marketing, Public Relations, and Writing/Editing",IT Services and IT Consulting
231,Business Analyst,4141100060,Synechron,"Pune, Maharashtra, India",2025-02-03,"['python', 'HTML', 'Data Science', 'Blockchain', 'DevOps', 'JIRA', 'Data Analysis']",Mid-Senior level,Full-time,Consulting and Analyst,"Financial Services, Banking, and Investment Banking"
232,Developer,4149356658,Wipro,"Pune, Maharashtra, India",2025-02-11,"['python', 'java', 'JavaScript', 'HTML', 'CSS', 'Frontend Development']",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
233,Data Analyst,4149632742,Valkyrie People Consulting,"Pune, Maharashtra, India",2025-02-11,"['python', 'R', 'Machine Learning', 'Data Science', 'Automation', 'Data Analysis']",Mid-Senior level,Full-time,Analyst,"Manufacturing, Industrial Machinery Manufacturing, and Motor Vehicle Manufacturing"
234,Data Analytics Trainee,4150795815,Gigafactor Solutions,"Pune, Maharashtra, India",2025-02-13,"['python', 'SQL', 'R']",Entry level,Full-time,Information Technology,IT Services and IT Consulting
235,Performance QA,4129173300,Persistent Systems,"Pune, Maharashtra, India",2025-01-20,"['python', 'SQL', 'Cloud Computing', 'Scripting', 'Automation', 'Software Testing', 'JMeter', 'Performance Testing', 'Load Testing']",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
236,Data Science Analyst,4119104440,GiGa-Ops Global Solutions,"Pune, Maharashtra, India",2025-01-08,"['python', 'SQL', 'R', 'AWS', 'Azure', 'Machine Learning', 'Deep Learning', 'NLP', 'TensorFlow', 'PyTorch', 'Scikit-Learn', 'Data Science', 'Big Data', 'Hadoop', 'Spark', 'Cloud Computing', 'Power BI']",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet"
237,HTML/CSS Developer,4135622064,Soul AI,"Pune, Maharashtra, India",2025-01-27,"['python', 'JavaScript', 'HTML', 'CSS', 'SQL', 'Node.js', 'Frontend Development', 'Full Stack Development']",Not Applicable,Part-time,Engineering and Information Technology,IT Services and IT Consulting
238,Data Analyst / Modeler II,4083479619,Experian,"Mumbai, Maharashtra, India",2025-01-27,"['python', 'R', 'Big Data', 'Data Analysis', 'Power BI']",Associate,Full-time,Information Technology,Financial Services
240,Data Analytics Trainee,4151010065,Accobridge Solutions,"Nashik, Maharashtra, India",2025-02-13,"['python', 'SQL']",Entry level,Full-time,Information Technology,"Technology, Information and Internet"
241,Developer,4148870816,Wipro,"Pune, Maharashtra, India",2025-02-10,"['python', 'JavaScript', 'Frontend Development']",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
242,"Software Engineer, Data Engineer II",4123642935,DoorDash,"Pune, Maharashtra, India",2025-02-15,"['python', 'java', 'SQL', 'PostgreSQL', 'Node.js', 'Kotlin', 'Go', 'Spark', 'Data Structures', 'Kafka']",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
243,Python Developer,4151221036,Tata Consultancy Services,"Pune, Maharashtra, India",2025-02-12,"['python', 'Django', 'C++', 'HTML', 'Docker', 'Machine Learning']",Mid-Senior level,Full-time,Consulting,IT Services and IT Consulting and IT System Data Services
244,Python -Technical Lead - (Center of Excellence),4133163475,Onix,"Pune, Maharashtra, India",2024-12-30,"['python', 'Terraform', 'Git', 'Big Data', 'Spark', 'Data Structures', 'Scripting', 'Performance Testing']",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
245,Python Developer Intern - Remote,4151009228,Accobridge Solutions,"Pune, Maharashtra, India",2025-02-13,"['python', 'Django', 'MongoDB', 'PostgreSQL', 'Flask']",Entry level,Internship,Information Technology,"Technology, Information and Internet"
246,Software Developer,4142449478,Avaloq,"Pune, Maharashtra, India",2025-02-03,"['python', 'java', 'C++', 'CSS', 'PostgreSQL', 'Node.js', 'Data Structures', 'Frontend Development']",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
247,Developer,4148873374,Wipro,Mumbai Metropolitan Region,2025-02-10,"['python', 'JavaScript', 'Frontend Development']",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
248,RBHU Analytics - Data Analytics Trainee,4103523285,ETG India,"Mumbai, Maharashtra, India",2024-12-18,"['python', 'R', 'Machine Learning', 'Data Analysis', 'Power BI']",Internship,Full-time,Information Technology,"Data Infrastructure and Analytics, Software Development, and Technology, Information and Media"
249,HDFC Securities - Application/Production Support Engineer - Troubleshooting,4121523732,HDFC securities,"Navi Mumbai, Maharashtra, India",2025-01-10,"['python', 'java', 'JavaScript', 'SQL', 'Shell Scripting', 'AWS', 'Linux', 'Networking', 'Scripting', 'Automation', 'JIRA']",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet, Software Development, and Technology, Information and Media"
250,Python Backend Developer,3627622197,GeekyWorks IT Solutions Pvt. Ltd.,"Pune, Maharashtra, India",2023-06-06,"['python', 'Django', 'Flask', 'Data Structures', 'NoSQL', 'Backend Development', 'Algorithm Design']",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
251,Senior Data Specialist (Operations),4123651641,Worldpanel by Kantar,"Mumbai, Maharashtra, India",2025-02-07,"['python', 'SQL', 'Machine Learning', 'Data Science', 'Big Data', 'Hadoop', 'Spark', 'JIRA', 'Data Analysis', 'Power BI']",Associate,Full-time,"Research, Analyst, and Information Technology",Market Research
252,Python Developer,3645630849,Value Innovation Labs,Mumbai Metropolitan Region,2023-06-27,"['python', 'Flask', 'Terraform', 'Bash']",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
253,Data Analyst,4127864122,PradeepIT Global Consulting Pvt Ltd - CMMI Level 3 Company,"Pune, Maharashtra, India",2025-01-17,"['python', 'C++', 'CSS', 'SQL', 'R', 'Machine Learning', 'Big Data', 'Power BI']",Not Applicable,Full-time,Information Technology,IT Services and IT Consulting
254,Electrical Engineer,4088467155,Larsen & Toubro,Mumbai Metropolitan Region,2025-01-29,"['python', 'JavaScript', 'C++', 'CSS']",Entry level,Full-time,Engineering and Information Technology,Executive Offices
255,Associate Analyst (COT Team),4061882459,EVERSANA,"Pune, Maharashtra, India",2025-02-01,"['python', 'Data Analysis']",Not Applicable,Full-time,Information Technology,Pharmaceutical Manufacturing
256,Software Engineer,4136382661,Hexaware Technologies,"Pune, Maharashtra, India",2025-01-29,"['python', 'java', 'JavaScript', 'HTML', 'CSS', 'SQL', 'PostgreSQL', 'Node.js', 'Data Structures', 'Frontend Development', 'Android Development']",Associate,Full-time,Analyst and Information Technology,IT Services and IT Consulting
257,Developer,4150368280,Wipro,"Pune, Maharashtra, India",2025-02-11,"['python', 'java', 'HTML', 'SQL', 'Git', 'Frontend Development']",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
258,Developer,4146528051,Wipro,"Pune, Maharashtra, India",2025-02-07,"['python', 'java', 'JavaScript', 'CSS', 'SQL', 'Git', 'Frontend Development']",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
259,Developer,4150986397,Wipro,"Pune, Maharashtra, India",2025-02-12,"['python', 'java', 'JavaScript', 'HTML', 'Git']",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
260,Jr. Software Developer,4074130122,Sarvatra Technologies,"Pune, Maharashtra, India",2024-11-11,"['python', 'JavaScript', 'C++', 'HTML', 'CSS', 'PostgreSQL', 'Angular', 'Git', 'Backend Development', 'Frontend Development', 'Full Stack Development', 'Android Development']",Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting
261,Python Developer,4134238901,Neev,"Navi Mumbai, Maharashtra, India",2025-01-08,"['python', 'Django', 'Git', 'Jenkins', 'NoSQL']",Associate,Full-time,Engineering and Information Technology,IT Services and IT Consulting
262,Software Engineer,4145775930,Capgemini,Mumbai Metropolitan Region,2025-02-12,"['python', 'java', 'JavaScript', 'C++', 'PostgreSQL', 'Node.js', 'Data Structures', 'Frontend Development', 'Android Development']",Entry level,Internship,Engineering and Information Technology,IT Services and IT Consulting
263,Application Support Engineer,4149101591,5paisa,"Thane, Maharashtra, India",2025-02-10,"['python', 'java', 'JavaScript', 'HTML', 'CSS', 'SQL', 'AWS', 'Azure', 'Cloud Computing', 'Networking']",Associate,Full-time,Information Technology,Financial Services
264,"Gen AI,Python",4130220124,Risk Resources,Mumbai Metropolitan Region,2024-12-25,"['python', 'Git', 'Machine Learning', 'TensorFlow', 'PyTorch', 'Data Science', 'Software Architecture']",Associate,Full-time,Other,Business Consulting and Services
265,Hiring:: Senior AI/ML Engineers:: Pune,4114913550,MangoApps,"Pune, Maharashtra, India",2025-01-02,"['python', 'java', 'C++', 'FastAPI', 'Docker', 'Machine Learning', 'Deep Learning', 'Scikit-Learn', 'Computer Vision', 'Data Science', 'Big Data', 'Software Architecture', 'Data Structures', 'Automation']",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
266,Forecast Analyst,4141923240,Alp Consulting Ltd.,"Pune, Maharashtra, India",2025-02-03,"['python', 'Machine Learning', 'Data Science', 'Data Analysis']",Associate,Full-time,"Analyst, Consulting, and Information Technology","IT Services and IT Consulting, Medical Practices, and Pharmaceutical Manufacturing"
267,"Data Analytics Internship in Thane, Navi Mumbai, Mumbai (Hybrid)",4146199280,Solfyn International,Mumbai Metropolitan Region,2025-02-08,"['python', 'SQL', 'R', 'Data Science', 'Big Data', 'Data Analysis']",Internship,Internship,Analyst,Market Research
268,Python Developer,4138039673,HCLSoftware,"Mumbai, Maharashtra, India",2025-01-29,"['python', 'HTML', 'Machine Learning', 'Unit Testing']",Mid-Senior level,Full-time,Engineering,Software Development
269,Python Developer,4133619075,TechBulls SoftTech Pvt Ltd,"Pune, Maharashtra, India",2025-01-24,"['python', 'Django', 'Flask', 'FastAPI', 'Google Cloud', 'Bash']",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
270,Electrical Engineer Fresher,4122181408,Classic Enterprises,"Pune, Maharashtra, India",2025-01-14,"['python', 'JavaScript', 'HTML', 'CSS', 'SQL']",Internship,Full-time,Engineering and Information Technology,Staffing and Recruiting
271,Trainee,4099706938,DANA SAC México,"Khed, Maharashtra, India",2024-12-13,"['python', 'JavaScript', 'C++', 'HTML']",Internship,Full-time,Other,Industrial Machinery Manufacturing
272,Trainee,4099710333,DANA SAC México,"Khed, Maharashtra, India",2024-12-13,"['python', 'JavaScript', 'C++', 'HTML']",Internship,Full-time,Other,Industrial Machinery Manufacturing
273,Trainee,4099713111,DANA SAC México,"Khed, Maharashtra, India",2024-12-13,"['python', 'JavaScript', 'C++', 'HTML']",Internship,Full-time,Other,Industrial Machinery Manufacturing
274,"SDET Engineer (QA, Automation)",4140698591,Persistent Systems,"Pune, Maharashtra, India",2025-02-03,"['python', 'java', 'C++', 'HTML', 'CSS', 'SQL', 'Jenkins', 'Data Structures', 'Full Stack Development', 'Android Development', 'Automation', 'Software Testing', 'Unit Testing', 'Competitive Programming']",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
275,Data Engineering (Python SQL),4075398947,Veracity Software Inc,"Pune, Maharashtra, India",2024-11-15,"['python', 'SQL', 'R', 'Deep Learning', 'Data Science', 'Big Data']",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
276,Testing & Commissioning Engineer,4129349270,Larsen & Toubro,"Hadgaon, Maharashtra, India",2025-02-15,"['python', 'JavaScript', 'HTML', 'CSS', 'Automation']",Entry level,Full-time,Engineering and Information Technology,Executive Offices
277,Developer,4145617958,Wipro,"Pune, Maharashtra, India",2025-02-06,"['python', 'java', 'JavaScript', 'HTML', 'CSS', 'SQL', 'Frontend Development']",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
278,ML Engineer,4131732306,Weekday Jobs (YC W21),Mumbai Metropolitan Region,2024-12-28,"['python', 'C++', 'Machine Learning', 'Deep Learning', 'Computer Vision', 'Data Science', 'Cloud Computing']",Associate,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
